Position,Const,Created,Modified,Description,Name,Known For,Birth Date
413,nm0056187,2024-01-08,2024-01-08,"7571 points","Sacha Baron Cohen","Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan","13 октября 1971 г."
414,nm0001212,2024-01-08,2024-01-08,"7540 points","Joseph Fiennes","Shakespeare in Love","27 мая 1970 г."
415,nm0002907,2024-01-08,2024-01-08,"7514 points","Alexander Skarsgård","The Legend of Tarzan","25 августа 1976 г."
416,nm0001096,2024-01-08,2024-01-08,"7394 points","Timothy Dalton","The Living Daylights","21 марта 1946 г."
417,nm0001191,2024-01-08,2024-01-08,"7331 points","Adam Sandler","The Waterboy","9 сентября 1966 г."
418,nm0001597,2024-01-08,2024-01-08,"7252 points","Mandy Patinkin","Homeland","30 ноября 1952 г."
419,nm5831542,2024-01-08,2024-01-08,"7209 points","Barkhad Abdi","Captain Phillips","10 апреля 1985 г."
420,nm0860947,2024-01-08,2024-01-08,"7161 points","Ulrich Thomsen","Festen","6 декабря 1963 г."
421,nm1319365,2024-01-08,2024-01-08,"7153 points","Tómas Lemarquis","Blade Runner 2049","3 августа 1977 г."
422,nm0000587,2024-01-08,2024-01-08,"7149 points","Donald Pleasence","Halloween II","5 октября 1919 г."
423,nm2797744,2024-01-08,2024-01-08,"6994 points","Himesh Patel","Yesterday","13 октября 1990 г."
424,nm0207218,2024-01-08,2024-01-08,"6964 points","Isaach De Bankolé","Casino Royale","12 августа 1957 г."
425,nm0001768,2024-01-08,2024-01-08,"6954 points","Rod Steiger","In the Heat of the Night","14 апреля 1925 г."
426,nm0002134,2024-01-08,2024-01-08,"6931 points","Paul Henreid","Casablanca","10 января 1908 г."
427,nm0001644,2024-01-08,2024-01-08,"6898 points","Aidan Quinn","Practical Magic","8 марта 1959 г."
428,nm0148418,2024-01-08,2024-01-08,"6884 points","Michael Cera","Scott Pilgrim vs. the World","7 июня 1988 г."
429,nm0860233,2024-01-08,2024-01-08,"6881 points","Jack Thompson","'Breaker' Morant","31 августа 1940 г."
430,nm0267241,2024-01-08,2024-01-08,"6842 points","Fares Fares","Kvinden i buret","29 апреля 1973 г."
431,nm0000177,2024-01-08,2024-01-10,"6732 points","Kevin Kline","Wild Wild West","24 октября 1947 г."
432,nm0781913,2024-01-08,2024-01-08,"6716 points","Noah Segan","Knives Out","5 октября 1983 г."
433,nm0876300,2024-01-08,2024-01-08,"6672 points","Ulrich Tukur","Das Leben der Anderen","29 июля 1957 г."
